,obs,dxx,dyy,dxy,dtt,abic_val
466,0.002771221010352372,0.6447009098570621,2.6157519105656095,2.542919244712824,2.477036776201247,5683.672131929163
467,0.0027722666028311893,0.6438687918551829,2.6053762389919375,2.5381338007512175,2.4742248148040105,5683.671923085492
468,0.002772625075191617,0.6438049042001429,2.6052081742535074,2.5385156757371528,2.4739126562096363,5683.671591517254
469,0.0027713536192376406,0.6444521473100429,2.6131016327315346,2.541966789760373,2.476207088656665,5683.671761633152
470,0.0027708801210110296,0.6446823201510729,2.6163197338868014,2.5436454722868747,2.4770038874348517,5683.671624015424
471,0.0027740296115301415,0.644436450632278,2.614005651845057,2.5435486462400583,2.4755225302617103,5683.671752637414
472,0.0027705503352367807,0.6451223405399485,2.6227121488337537,2.547213033619422,2.4783914443966824,5683.671356222642
473,0.002769079808701554,0.6458301923291109,2.632586992788786,2.5523178206963686,2.480849005815254,5683.671217994228
474,0.0027719653320063785,0.6445808217236311,2.6167062416598954,2.5450708256947614,2.4763591820178856,5683.670798416704
475,0.002772337567798978,0.644520786045461,2.6171835377659316,2.5461472987646387,2.4760204544379123,5683.670151645856
476,0.002772226299391483,0.6448571046382219,2.6209960816149547,2.5476984909648523,2.4771142355465408,5683.670587278419
477,0.0027688317456209346,0.6450411541371347,2.622890079545335,2.5477748531733093,2.4784363788763133,5683.670525089936
478,0.0027711590509535973,0.6449386825159703,2.6232006135089163,2.549331435767337,2.4775270507054996,5683.669776889203
479,0.002771298526454104,0.6450669019249833,2.626647836575109,2.552179182049179,2.477788673775484,5683.668907890411
